score,content
4,对比了很久，165hz打游戏很丝滑，完美屏无坏点，运气不错。
1,对比了很久，刷新率虚标，根本没觉得有144Hz，而且色彩发黄，调了半天也不准。
4,这屏幕完美屏无坏点，运气不错，完美屏无坏点，运气不错。
2,总体来说，支架极其不稳，打字的时候屏幕都在晃，而且底座太占桌面空间了。
4,哎，安装特别简单，免工具拆装，安装特别简单，免工具拆装。
3,说实话，客服态度敷衍，退换货极其麻烦，而且底座太占桌面空间了。
5,总体来说，安装特别简单，免工具拆装，安装特别简单，免工具拆装。
5,这台显示器165hz打游戏很丝滑，用来办公敲代码很合适，字迹清晰。
3,用了一周，HDR效果很假，开了画面泛灰，而且可视角度太小，稍微偏一点就泛白。
4,哎，165hz打游戏很丝滑，165hz打游戏很丝滑。
3,刚收到货，内置音箱听个响都嫌刺耳，而且HDR效果很假，开了画面泛灰。
4,总体来说，165hz打游戏很丝滑，性价比无敌，这个价位要什么自行车。
3,哎，内置音箱听个响都嫌刺耳，而且品控太差了，边框缝隙大得能塞进A4纸。
3,这屏幕内置音箱听个响都嫌刺耳，而且客服态度敷衍，退换货极其麻烦。
1,这屏幕客服态度敷衍，退换货极其麻烦，而且支架极其不稳，打字的时候屏幕都在晃。
1,这屏幕刷新率虚标，根本没觉得有144Hz，而且客服态度敷衍，退换货极其麻烦。
2,刚收到货，客服态度敷衍，退换货极其麻烦，而且客服态度敷衍，退换货极其麻烦。
5,刚收到货，色彩很艳丽，看剧爽，完美屏无坏点，运气不错。
3,对比了很久，漏光太严重了，晚上看电影四角泛白，而且色彩发黄，调了半天也不准。
4,这台显示器完美屏无坏点，运气不错，性价比无敌，这个价位要什么自行车。
2,总体来说，刷新率虚标，根本没觉得有144Hz，而且客服态度敷衍，退换货极其麻烦。
4,刚收到货，完美屏无坏点，运气不错，165hz打游戏很丝滑。
2,这台显示器可视角度太小，稍微偏一点就泛白，而且可视角度太小，稍微偏一点就泛白。
1,说实话，品控太差了，边框缝隙大得能塞进A4纸，而且可视角度太小，稍微偏一点就泛白。
4,总体来说，支持Type-C一线连，给笔记本充电很方便，性价比无敌，这个价位要什么自行车。
4,这屏幕性价比无敌，这个价位要什么自行车，165hz打游戏很丝滑。
3,说实话，内置音箱听个响都嫌刺耳，而且内置音箱听个响都嫌刺耳。
5,对比了很久，165hz打游戏很丝滑，色彩很艳丽，看剧爽。
4,刚收到货，支持Type-C一线连，给笔记本充电很方便，外观很大气，电竞感拉满。
5,这屏幕安装特别简单，免工具拆装，165hz打游戏很丝滑。
3,这台显示器刷新率虚标，根本没觉得有144Hz，而且刷新率虚标，根本没觉得有144Hz。
4,对比了很久，色彩很艳丽，看剧爽，用来办公敲代码很合适，字迹清晰。
5,总体来说，完美屏无坏点，运气不错，支持Type-C一线连，给笔记本充电很方便。
5,这屏幕支持Type-C一线连，给笔记本充电很方便，色彩很艳丽，看剧爽。
4,哎，支持Type-C一线连，给笔记本充电很方便，用来办公敲代码很合适，字迹清晰。
5,用了一周，完美屏无坏点，运气不错，性价比无敌，这个价位要什么自行车。
4,这屏幕用来办公敲代码很合适，字迹清晰，165hz打游戏很丝滑。
4,刚收到货，外观很大气，电竞感拉满，性价比无敌，这个价位要什么自行车。
2,对比了很久，经常黑屏闪屏，不知道是线的问题还是接口问题，而且支架极其不稳，打字的时候屏幕都在晃。
2,哎，看久了眼睛疼，护眼模式就是个摆设，而且底座太占桌面空间了。
3,这台显示器经常黑屏闪屏，不知道是线的问题还是接口问题，而且支架极其不稳，打字的时候屏幕都在晃。
5,这屏幕色彩很艳丽，看剧爽，支持Type-C一线连，给笔记本充电很方便。
3,这台显示器可视角度太小，稍微偏一点就泛白，而且漏光太严重了，晚上看电影四角泛白。
5,刚收到货，完美屏无坏点，运气不错，完美屏无坏点，运气不错。
2,总体来说，刷新率虚标，根本没觉得有144Hz，而且内置音箱听个响都嫌刺耳。
4,刚收到货，165hz打游戏很丝滑，外观很大气，电竞感拉满。
4,总体来说，165hz打游戏很丝滑，完美屏无坏点，运气不错。
1,说实话，HDR效果很假，开了画面泛灰，而且经常黑屏闪屏，不知道是线的问题还是接口问题。
4,这屏幕外观很大气，电竞感拉满，色彩很艳丽，看剧爽。
2,这屏幕可视角度太小，稍微偏一点就泛白，而且屏幕有坏点，强迫症看着太难受了。
4,刚收到货，165hz打游戏很丝滑，色彩很艳丽，看剧爽。
1,哎，品控太差了，边框缝隙大得能塞进A4纸，而且HDR效果很假，开了画面泛灰。
3,说实话，底座太占桌面空间了，而且品控太差了，边框缝隙大得能塞进A4纸。
3,用了一周，漏光太严重了，晚上看电影四角泛白，而且底座太占桌面空间了。
4,对比了很久，外观很大气，电竞感拉满，165hz打游戏很丝滑。
4,用了一周，外观很大气，电竞感拉满，性价比无敌，这个价位要什么自行车。
4,总体来说，外观很大气，电竞感拉满，用来办公敲代码很合适，字迹清晰。
4,说实话，色彩很艳丽，看剧爽，色彩很艳丽，看剧爽。
5,哎，支持Type-C一线连，给笔记本充电很方便，支持Type-C一线连，给笔记本充电很方便。
4,刚收到货，支持Type-C一线连，给笔记本充电很方便，安装特别简单，免工具拆装。
4,哎，性价比无敌，这个价位要什么自行车，支持Type-C一线连，给笔记本充电很方便。
3,用了一周，底座太占桌面空间了，而且客服态度敷衍，退换货极其麻烦。
4,刚收到货，安装特别简单，免工具拆装，色彩很艳丽，看剧爽。
3,哎，色彩发黄，调了半天也不准，而且客服态度敷衍，退换货极其麻烦。
4,用了一周，用来办公敲代码很合适，字迹清晰，安装特别简单，免工具拆装。
2,对比了很久，客服态度敷衍，退换货极其麻烦，而且经常黑屏闪屏，不知道是线的问题还是接口问题。
4,这台显示器完美屏无坏点，运气不错，完美屏无坏点，运气不错。
3,总体来说，底座太占桌面空间了，而且品控太差了，边框缝隙大得能塞进A4纸。
5,说实话，外观很大气，电竞感拉满，完美屏无坏点，运气不错。
2,总体来说，色彩发黄，调了半天也不准，而且漏光太严重了，晚上看电影四角泛白。
1,说实话，刷新率虚标，根本没觉得有144Hz，而且可视角度太小，稍微偏一点就泛白。
3,说实话，品控太差了，边框缝隙大得能塞进A4纸，而且品控太差了，边框缝隙大得能塞进A4纸。
3,总体来说，HDR效果很假，开了画面泛灰，而且底座太占桌面空间了。
5,这屏幕性价比无敌，这个价位要什么自行车，用来办公敲代码很合适，字迹清晰。
1,这屏幕客服态度敷衍，退换货极其麻烦，而且看久了眼睛疼，护眼模式就是个摆设。
2,用了一周，客服态度敷衍，退换货极其麻烦，而且HDR效果很假，开了画面泛灰。
4,用了一周，支持Type-C一线连，给笔记本充电很方便，性价比无敌，这个价位要什么自行车。
2,这台显示器可视角度太小，稍微偏一点就泛白，而且刷新率虚标，根本没觉得有144Hz。
4,这台显示器发货速度极快，包装完好，安装特别简单，免工具拆装。
4,哎，用来办公敲代码很合适，字迹清晰，支持Type-C一线连，给笔记本充电很方便。
3,这屏幕刷新率虚标，根本没觉得有144Hz，而且经常黑屏闪屏，不知道是线的问题还是接口问题。
4,刚收到货，发货速度极快，包装完好，支持Type-C一线连，给笔记本充电很方便。
3,刚收到货，内置音箱听个响都嫌刺耳，而且经常黑屏闪屏，不知道是线的问题还是接口问题。
4,用了一周，165hz打游戏很丝滑，性价比无敌，这个价位要什么自行车。
2,对比了很久，支架极其不稳，打字的时候屏幕都在晃，而且可视角度太小，稍微偏一点就泛白。
2,对比了很久，底座太占桌面空间了，而且内置音箱听个响都嫌刺耳。
5,对比了很久，外观很大气，电竞感拉满，性价比无敌，这个价位要什么自行车。
2,这台显示器屏幕有坏点，强迫症看着太难受了，而且刷新率虚标，根本没觉得有144Hz。
5,这屏幕用来办公敲代码很合适，字迹清晰，性价比无敌，这个价位要什么自行车。
4,这台显示器发货速度极快，包装完好，色彩很艳丽，看剧爽。
4,这台显示器支持Type-C一线连，给笔记本充电很方便，安装特别简单，免工具拆装。
1,用了一周，经常黑屏闪屏，不知道是线的问题还是接口问题，而且漏光太严重了，晚上看电影四角泛白。
1,总体来说，支架极其不稳，打字的时候屏幕都在晃，而且支架极其不稳，打字的时候屏幕都在晃。
1,总体来说，客服态度敷衍，退换货极其麻烦，而且刷新率虚标，根本没觉得有144Hz。
4,这台显示器色彩很艳丽，看剧爽，用来办公敲代码很合适，字迹清晰。
3,用了一周，底座太占桌面空间了，而且经常黑屏闪屏，不知道是线的问题还是接口问题。
2,哎，HDR效果很假，开了画面泛灰，而且经常黑屏闪屏，不知道是线的问题还是接口问题。
4,哎，性价比无敌，这个价位要什么自行车，支持Type-C一线连，给笔记本充电很方便。
4,用了一周，发货速度极快，包装完好，安装特别简单，免工具拆装。
4,刚收到货，性价比无敌，这个价位要什么自行车，外观很大气，电竞感拉满。
4,这台显示器支持Type-C一线连，给笔记本充电很方便，外观很大气，电竞感拉满。
2,总体来说，HDR效果很假，开了画面泛灰，而且屏幕有坏点，强迫症看着太难受了。
2,哎，看久了眼睛疼，护眼模式就是个摆设，而且经常黑屏闪屏，不知道是线的问题还是接口问题。
1,哎，客服态度敷衍，退换货极其麻烦，而且屏幕有坏点，强迫症看着太难受了。
4,总体来说，支持Type-C一线连，给笔记本充电很方便，色彩很艳丽，看剧爽。
5,用了一周，完美屏无坏点，运气不错，发货速度极快，包装完好。
3,这台显示器看久了眼睛疼，护眼模式就是个摆设，而且看久了眼睛疼，护眼模式就是个摆设。
3,这台显示器看久了眼睛疼，护眼模式就是个摆设，而且漏光太严重了，晚上看电影四角泛白。
4,用了一周，完美屏无坏点，运气不错，165hz打游戏很丝滑。
4,哎，165hz打游戏很丝滑，色彩很艳丽，看剧爽。
4,哎，用来办公敲代码很合适，字迹清晰，色彩很艳丽，看剧爽。
1,用了一周，刷新率虚标，根本没觉得有144Hz，而且经常黑屏闪屏，不知道是线的问题还是接口问题。
4,这屏幕165hz打游戏很丝滑，用来办公敲代码很合适，字迹清晰。
4,刚收到货，用来办公敲代码很合适，字迹清晰，发货速度极快，包装完好。
5,说实话，用来办公敲代码很合适，字迹清晰，完美屏无坏点，运气不错。
3,对比了很久，HDR效果很假，开了画面泛灰，而且底座太占桌面空间了。
1,对比了很久，经常黑屏闪屏，不知道是线的问题还是接口问题，而且支架极其不稳，打字的时候屏幕都在晃。
1,说实话，可视角度太小，稍微偏一点就泛白，而且底座太占桌面空间了。
4,哎，用来办公敲代码很合适，字迹清晰，165hz打游戏很丝滑。
4,哎，发货速度极快，包装完好，完美屏无坏点，运气不错。
5,哎，完美屏无坏点，运气不错，完美屏无坏点，运气不错。
5,这台显示器安装特别简单，免工具拆装，165hz打游戏很丝滑。
1,说实话，可视角度太小，稍微偏一点就泛白，而且可视角度太小，稍微偏一点就泛白。
1,刚收到货，底座太占桌面空间了，而且内置音箱听个响都嫌刺耳。
3,刚收到货，漏光太严重了，晚上看电影四角泛白，而且客服态度敷衍，退换货极其麻烦。
5,这屏幕发货速度极快，包装完好，发货速度极快，包装完好。
1,刚收到货，刷新率虚标，根本没觉得有144Hz，而且品控太差了，边框缝隙大得能塞进A4纸。
5,这台显示器用来办公敲代码很合适，字迹清晰，安装特别简单，免工具拆装。
3,哎，底座太占桌面空间了，而且品控太差了，边框缝隙大得能塞进A4纸。
5,总体来说，完美屏无坏点，运气不错，色彩很艳丽，看剧爽。
3,这台显示器底座太占桌面空间了，而且色彩发黄，调了半天也不准。
4,用了一周，安装特别简单，免工具拆装，安装特别简单，免工具拆装。
5,说实话，完美屏无坏点，运气不错，性价比无敌，这个价位要什么自行车。
2,这屏幕看久了眼睛疼，护眼模式就是个摆设，而且看久了眼睛疼，护眼模式就是个摆设。
2,这屏幕屏幕有坏点，强迫症看着太难受了，而且漏光太严重了，晚上看电影四角泛白。
4,哎，安装特别简单，免工具拆装，支持Type-C一线连，给笔记本充电很方便。
2,用了一周，刷新率虚标，根本没觉得有144Hz，而且底座太占桌面空间了。
2,对比了很久，漏光太严重了，晚上看电影四角泛白，而且支架极其不稳，打字的时候屏幕都在晃。
5,刚收到货，发货速度极快，包装完好，支持Type-C一线连，给笔记本充电很方便。
4,说实话，外观很大气，电竞感拉满，色彩很艳丽，看剧爽。
4,哎，安装特别简单，免工具拆装，完美屏无坏点，运气不错。
1,哎，刷新率虚标，根本没觉得有144Hz，而且漏光太严重了，晚上看电影四角泛白。
3,这屏幕HDR效果很假，开了画面泛灰，而且HDR效果很假，开了画面泛灰。
5,总体来说，色彩很艳丽，看剧爽，165hz打游戏很丝滑。
4,总体来说，用来办公敲代码很合适，字迹清晰，支持Type-C一线连，给笔记本充电很方便。
4,对比了很久，性价比无敌，这个价位要什么自行车，完美屏无坏点，运气不错。
4,对比了很久，外观很大气，电竞感拉满，发货速度极快，包装完好。
3,这台显示器刷新率虚标，根本没觉得有144Hz，而且经常黑屏闪屏，不知道是线的问题还是接口问题。
5,总体来说，色彩很艳丽，看剧爽，用来办公敲代码很合适，字迹清晰。
5,哎，安装特别简单，免工具拆装，发货速度极快，包装完好。
5,总体来说，完美屏无坏点，运气不错，性价比无敌，这个价位要什么自行车。
4,总体来说，支持Type-C一线连，给笔记本充电很方便，165hz打游戏很丝滑。
5,总体来说，完美屏无坏点，运气不错，安装特别简单，免工具拆装。
1,用了一周，看久了眼睛疼，护眼模式就是个摆设，而且客服态度敷衍，退换货极其麻烦。
5,刚收到货，安装特别简单，免工具拆装，性价比无敌，这个价位要什么自行车。
4,说实话，165hz打游戏很丝滑，色彩很艳丽，看剧爽。
5,哎，用来办公敲代码很合适，字迹清晰，完美屏无坏点，运气不错。
4,用了一周，用来办公敲代码很合适，字迹清晰，安装特别简单，免工具拆装。
5,总体来说，外观很大气，电竞感拉满，性价比无敌，这个价位要什么自行车。
5,用了一周，性价比无敌，这个价位要什么自行车，性价比无敌，这个价位要什么自行车。
5,这屏幕外观很大气，电竞感拉满，发货速度极快，包装完好。
4,这屏幕完美屏无坏点，运气不错，色彩很艳丽，看剧爽。
1,哎，看久了眼睛疼，护眼模式就是个摆设，而且屏幕有坏点，强迫症看着太难受了。
1,哎，刷新率虚标，根本没觉得有144Hz，而且HDR效果很假，开了画面泛灰。
4,对比了很久，完美屏无坏点，运气不错，外观很大气，电竞感拉满。
1,用了一周，看久了眼睛疼，护眼模式就是个摆设，而且色彩发黄，调了半天也不准。
5,哎，色彩很艳丽，看剧爽，完美屏无坏点，运气不错。
2,对比了很久，底座太占桌面空间了，而且底座太占桌面空间了。
5,对比了很久，安装特别简单，免工具拆装，完美屏无坏点，运气不错。
3,这屏幕内置音箱听个响都嫌刺耳，而且屏幕有坏点，强迫症看着太难受了。
5,这屏幕支持Type-C一线连，给笔记本充电很方便，165hz打游戏很丝滑。
3,用了一周，HDR效果很假，开了画面泛灰，而且品控太差了，边框缝隙大得能塞进A4纸。
1,用了一周，内置音箱听个响都嫌刺耳，而且品控太差了，边框缝隙大得能塞进A4纸。
5,刚收到货，色彩很艳丽，看剧爽，用来办公敲代码很合适，字迹清晰。
3,哎，客服态度敷衍，退换货极其麻烦，而且经常黑屏闪屏，不知道是线的问题还是接口问题。
5,对比了很久，支持Type-C一线连，给笔记本充电很方便，安装特别简单，免工具拆装。
4,这屏幕外观很大气，电竞感拉满，发货速度极快，包装完好。
5,说实话，色彩很艳丽，看剧爽，用来办公敲代码很合适，字迹清晰。
4,这屏幕安装特别简单，免工具拆装，支持Type-C一线连，给笔记本充电很方便。
4,刚收到货，发货速度极快，包装完好，性价比无敌，这个价位要什么自行车。
5,总体来说，完美屏无坏点，运气不错，发货速度极快，包装完好。
3,刚收到货，HDR效果很假，开了画面泛灰，而且看久了眼睛疼，护眼模式就是个摆设。
1,刚收到货，支架极其不稳，打字的时候屏幕都在晃，而且底座太占桌面空间了。
5,这屏幕支持Type-C一线连，给笔记本充电很方便，外观很大气，电竞感拉满。
3,哎，底座太占桌面空间了，而且刷新率虚标，根本没觉得有144Hz。
4,用了一周，色彩很艳丽，看剧爽，完美屏无坏点，运气不错。
5,哎，发货速度极快，包装完好，性价比无敌，这个价位要什么自行车。
5,这台显示器性价比无敌，这个价位要什么自行车，165hz打游戏很丝滑。
1,哎，可视角度太小，稍微偏一点就泛白，而且支架极其不稳，打字的时候屏幕都在晃。
3,对比了很久，经常黑屏闪屏，不知道是线的问题还是接口问题，而且可视角度太小，稍微偏一点就泛白。
1,这屏幕可视角度太小，稍微偏一点就泛白，而且看久了眼睛疼，护眼模式就是个摆设。
2,说实话，刷新率虚标，根本没觉得有144Hz，而且底座太占桌面空间了。
3,说实话，客服态度敷衍，退换货极其麻烦，而且看久了眼睛疼，护眼模式就是个摆设。
4,刚收到货，支持Type-C一线连，给笔记本充电很方便，性价比无敌，这个价位要什么自行车。
2,对比了很久，漏光太严重了，晚上看电影四角泛白，而且经常黑屏闪屏，不知道是线的问题还是接口问题。
5,用了一周，色彩很艳丽，看剧爽，色彩很艳丽，看剧爽。
3,说实话，底座太占桌面空间了，而且刷新率虚标，根本没觉得有144Hz。
3,说实话，看久了眼睛疼，护眼模式就是个摆设，而且品控太差了，边框缝隙大得能塞进A4纸。
4,哎，性价比无敌，这个价位要什么自行车，安装特别简单，免工具拆装。
4,这屏幕性价比无敌，这个价位要什么自行车，支持Type-C一线连，给笔记本充电很方便。
1,刚收到货，品控太差了，边框缝隙大得能塞进A4纸，而且色彩发黄，调了半天也不准。
1,刚收到货，客服态度敷衍，退换货极其麻烦，而且可视角度太小，稍微偏一点就泛白。
4,这屏幕外观很大气，电竞感拉满，165hz打游戏很丝滑。
3,刚收到货，客服态度敷衍，退换货极其麻烦，而且刷新率虚标，根本没觉得有144Hz。
4,刚收到货，性价比无敌，这个价位要什么自行车，性价比无敌，这个价位要什么自行车。
4,总体来说，安装特别简单，免工具拆装，性价比无敌，这个价位要什么自行车。
2,这屏幕客服态度敷衍，退换货极其麻烦，而且内置音箱听个响都嫌刺耳。
3,说实话，经常黑屏闪屏，不知道是线的问题还是接口问题，而且漏光太严重了，晚上看电影四角泛白。
5,总体来说，安装特别简单，免工具拆装，165hz打游戏很丝滑。
5,刚收到货，用来办公敲代码很合适，字迹清晰，165hz打游戏很丝滑。
3,总体来说，色彩发黄，调了半天也不准，而且内置音箱听个响都嫌刺耳。
5,说实话，色彩很艳丽，看剧爽，色彩很艳丽，看剧爽。
3,这屏幕刷新率虚标，根本没觉得有144Hz，而且可视角度太小，稍微偏一点就泛白。
5,说实话，165hz打游戏很丝滑，安装特别简单，免工具拆装。
2,对比了很久，可视角度太小，稍微偏一点就泛白，而且支架极其不稳，打字的时候屏幕都在晃。
5,哎，色彩很艳丽，看剧爽，安装特别简单，免工具拆装。
3,用了一周，看久了眼睛疼，护眼模式就是个摆设，而且看久了眼睛疼，护眼模式就是个摆设。
2,说实话，品控太差了，边框缝隙大得能塞进A4纸，而且HDR效果很假，开了画面泛灰。
